"","listing_id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","list.demand"
"1","10000073","Private Modern Mission Getaway","19132222","Steve",,"Mission",37.7647029348592,-122.422197325252,"Entire home/apt",149,1,81,"2017-02-15",5.59,1,10,355
"2","10000523","Cozy Private Room Castro/Eureka","42786654","Jonathan",,"Twin Peaks",37.7556874720132,-122.441218363265,"Private room",105,2,4,"2016-12-12",0.35,1,130,235
"3","10001830","Welcoming and spacious apartment","31427412","Susannah",,"Mission",37.7643132454923,-122.415694692794,"Entire home/apt",190,2,0,"",0,1,0,365
"4","10012664","Sunny Room near Haight & GG Park","12059778","Sarah",,"Western Addition",37.773179820168,-122.435031144315,"Private room",100,1,0,"",0,1,0,365
"5","1001415","Modern Hideaway","648553","Julie & Brad",,"Noe Valley",37.7563234660263,-122.426673471424,"Entire home/apt",275,3,32,"2017-02-19",0.73,3,262,103
"6","1001422","Charming Flat in Pacific Heights SF","5507221","Lauren",,"Marina",37.7970995697973,-122.427926749816,"Entire home/apt",200,5,6,"2015-08-16",0.14,1,271,94
"7","10020749","Cozy studio in popular area","16570082","Mandeep",,"Mission",37.7612039143857,-122.42090334215,"Private room",400,2,0,"",0,1,0,365
"8","10022810","Luxury, Pvt BR/BA Suite w/ Balcony","10456230","Jack",,"Western Addition",37.7731720998872,-122.427541243473,"Private room",100,1,47,"2017-01-25",3.43,3,62,303
"9","10023082","Vacation Rental near Downtown SF","51466165","Sierra",,"Downtown/Civic Center",37.7826497240915,-122.410557778803,"Entire home/apt",106,2,7,"2016-06-28",0.49,1,0,365
"10","10023104","[SF]Private Bath,fast WiFi,BART shuttle","7831112","William",,"Bayview",37.7127701220597,-122.395914948335,"Private room",75,30,20,"2017-02-15",1.39,1,179,186
"11","10023678","Gorgeous 3 BR 2 lvl, fabulous neighborhood & views","51468401","Ashima",,"West of Twin Peaks",37.7341017644365,-122.448763055194,"Entire home/apt",299,2,1,"2017-01-02",0.5,1,0,365
"12","10024229","Lakeside ""Secret Garden"" in SF","46344600","Liza",,"Lakeshore",37.714535785566,-122.477616942567,"Private room",70,7,0,"",0,1,0,365
