"","id","host_id","host_response_time","host_response_rate","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","latitude","longitude","is_location_exact","property_type","room_type","bathrooms","bedrooms","beds","bed_type","price","security_deposit","guests_included","extra_people","minimum_nights","availability_365","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","calculated_host_listings_count","reviews_per_month"
"1",9824673,49499644,"within a few hours",100,"f",2,"t","t",37.7818035372149,-122.507327414718,"t","House","Entire home/apt",1,2,2,"Real Bed","$175.00","$500.00",1,"$0.00",30,274,95,9,9,10,10,9,9,"t","strict",1,0.43
"2",2134100,10889606,"within an hour",85,"f",1,"t","t",37.7838880932323,-122.50855676228,"t","House","Entire home/apt",1,0,1,"Real Bed","$135.00","$100.00",2,"$40.00",1,228,93,10,9,10,9,9,9,"f","moderate",1,6.47
"3",1931937,7932270,"within an hour",100,"f",2,"t","t",37.7815640854069,-122.49442445483,"t","Apartment","Private room",1,1,1,"Real Bed","$85.00","$100.00",1,"$10.00",3,81,96,10,9,10,10,10,9,"t","strict",2,1.2
"4",15285867,90996155,"within an hour",100,"f",2,"t","f",37.7863427752134,-122.48956956245,"f","House","Private room",1,1,1,"Real Bed","$98.00","",1,"$0.00",1,305,91,9,9,10,10,10,10,"t","flexible",2,1.41
"5",17422548,110525119,"within an hour",100,"f",1,"t","t",37.7837763031845,-122.494667101594,"f","House","Entire home/apt",1,2,4,"Real Bed","$350.00","",3,"$20.00",5,146,94.4613656783468,9.64644948205975,9.4765906362545,9.79497970840223,9.79786914765906,9.55720944218914,9.36637088283952,"t","strict",1,NA
"6",17500389,55178318,"within an hour",89,"f",2,"t","f",37.7755214031053,-122.509871934588,"f","Condominium","Private room",1,1,1,"Real Bed","$70.00","",1,"$0.00",1,243,94.4613656783468,9.64644948205975,9.4765906362545,9.79497970840223,9.79786914765906,9.55720944218914,9.36637088283952,"f","flexible",1,NA
"7",11187767,58242037,"within an hour",100,"f",1,"t","t",37.7796847005445,-122.510471696227,"t","Condominium","Entire home/apt",2,3,3,"Real Bed","$370.00","",1,"$0.00",2,172,80,9,9,10,9,10,8,"t","strict",1,0.52
"8",14252951,30270108,"within a day",88,"f",1,"t","t",37.783442157251,-122.492549597129,"t","Apartment","Entire home/apt",1,1,1,"Real Bed","$175.00","",1,"$0.00",1,0,100,10,10,10,10,10,10,"f","strict",1,0.72
"9",9904485,13046907,"N/A",94.4716824447766,"f",2,"t","t",37.7854868579006,-122.488011271295,"t","House","Private room",1,1,1,"Real Bed","$195.00","",1,"$0.00",1,0,94.4613656783468,9.64644948205975,9.4765906362545,9.79497970840223,9.79786914765906,9.55720944218914,9.36637088283952,"f","flexible",2,NA
"10",8411606,21303289,"within an hour",100,"f",2,"t","t",37.7866750798736,-122.493161685973,"t","House","Private room",1,1,1,"Real Bed","$105.00","",1,"$0.00",2,50,99,10,10,10,10,10,10,"t","moderate",2,4.05
"11",7856443,6076870,"within an hour",100,"t",2,"t","t",37.7822777741035,-122.492784269512,"t","Apartment","Entire home/apt",2.5,3,4,"Real Bed","$195.00","",1,"$0.00",2,0,98,10,10,10,10,9,10,"f","strict",2,2.05
"12",8001958,24591867,"N/A",94.4716824447766,"f",1,"t","t",37.7807078053273,-122.509159964536,"t","Apartment","Entire home/apt",1,0,1,"Airbed","$1,850.00","",1,"$0.00",1,0,94.4613656783468,9.64644948205975,9.4765906362545,9.79497970840223,9.79786914765906,9.55720944218914,9.36637088283952,"f","flexible",1,NA
"13",16570521,21303289,"within an hour",100,"f",2,"t","t",37.7873311310966,-122.492116946219,"t","House","Private room",1,1,1,"Real Bed","$95.00","$150.00",1,"$0.00",4,85,100,10,10,10,10,10,10,"f","moderate",2,1
"14",14652409,90996155,"within an hour",100,"f",2,"t","f",37.7863688690504,-122.490552721737,"t","House","Private room",1,1,1,"Real Bed","$148.00","",1,"$0.00",1,305,100,10,10,10,10,9,9,"t","flexible",2,0.41
"15",17503185,50740071,"N/A",94.4716824447766,"f",1,"t","t",37.7878354092647,-122.488754500039,"t","House","Entire home/apt",6,6,6,"Real Bed","$750.00","$1,200.00",1,"$0.00",4,176,94.4613656783468,9.64644948205975,9.4765906362545,9.79497970840223,9.79786914765906,9.55720944218914,9.36637088283952,"t","flexible",1,NA
"16",16362304,36381578,"within an hour",96,"f",3,"t","t",37.779841464417,-122.505483124707,"t","House","Private room",1,1,1,"Real Bed","$85.00","",2,"$25.00",3,151,100,10,10,10,10,10,10,"f","strict",3,1.33
"17",69681,127367,"within a few hours",98,"f",41,"t","t",37.7770690692625,-122.509231872583,"t","Apartment","Entire home/apt",2,3,3,"Real Bed","$170.00","",4,"$50.00",30,365,90,9,8,10,10,9,8,"f","super_strict_30",26,0.08
"18",1427660,2275604,"within an hour",100,"t",1,"t","t",37.775236128909,-122.509137450671,"t","House","Entire home/apt",1,1,1,"Real Bed","$165.00","$200.00",2,"$10.00",2,237,98,10,10,10,10,10,10,"t","flexible",1,6.52
"19",15664146,101134145,"within a few hours",100,"f",1,"t","f",37.7843645634728,-122.489514671583,"t","Apartment","Entire home/apt",2,3,5,"Real Bed","$295.00","$500.00",3,"$20.00",2,159,100,10,10,10,10,10,10,"f","strict",1,1.55
"20",16064495,25596860,"within an hour",100,"f",1,"t","t",37.7879233390217,-122.484356991537,"t","House","Entire home/apt",2,2,5,"Real Bed","$244.00","",4,"$0.00",2,0,94.4613656783468,9.64644948205975,9.4765906362545,9.79497970840223,9.79786914765906,9.55720944218914,9.36637088283952,"f","strict",1,NA
"21",3168359,16071511,"within an hour",100,"f",2,"t","t",37.7793190379644,-122.509635223139,"t","Apartment","Entire home/apt",1,1,3,"Real Bed","$183.00","$250.00",1,"$15.00",3,318,96,10,10,10,10,10,9,"f","strict",2,3.29
"22",8388658,9996441,"N/A",94.4716824447766,"f",1,"t","t",37.7876642308884,-122.489152227618,"t","House","Entire home/apt",2.5,3,4,"Real Bed","$895.00","$250.00",1,"$0.00",3,0,94.4613656783468,9.64644948205975,9.4765906362545,9.79497970840223,9.79786914765906,9.55720944218914,9.36637088283952,"f","flexible",1,NA
